image_id,file_name,width,height,num_points,num_inliers,mean_err_px,median_err_px,mean_err_inliers_px,rot_mag_deg,tvec_x_m,tvec_y_m,tvec_z_m,method,ransac_thresh,dist_len,name_source,mirror_used
12,XVf2CPo01o0_3900.png,1280,720,15,15,4.293140201940212,3.8680303475976943,4.293140201940212,108.62654691399268,0.0037241022964590934,-1.9007205559108737,33.33891924157577,IPPE,5.0,0,coco,False
20,XloXibeMOI8_200.png,1280,720,15,15,7.302602407940426,7.247367025370761,7.302602407940426,108.63955617991623,0.0004922216845249894,-2.0560731150745273,33.628356810288395,IPPE,5.0,0,coco,False
23,WwzKVi2C_kk_2200.png,1280,720,15,15,20.252384417412536,18.73592235883286,20.252384417412536,111.05103259186073,-0.03341171531310439,-0.8890870714972752,30.634867190216774,IPPE,5.0,0,coco,False
25,X3gyGZ0NiMQ_1450.png,1280,720,15,15,8.969495634453938,8.421987764452206,8.969495634453938,110.32741156850271,-0.03391882719856438,-0.43502415144142675,35.37990300715414,IPPE,5.0,0,coco,False
28,yRw8jn-0B9Y_50.png,1280,720,15,15,29.983779405409212,26.80929015210503,29.983779405409212,111.54600935676011,-0.02361094370576808,-0.8271616914077079,29.76254235120279,IPPE,5.0,0,coco,False
35,sibEfNwg9GU_1550.png,1280,720,15,15,4.940451766784498,4.470949648152733,4.940451766784498,110.3268431737488,-0.07232246609731112,-1.535733876726426,29.385527365266043,IPPE,5.0,0,coco,False
37,yBHbpO8m1X0_1900.png,1280,720,15,15,25.216501864433884,22.83367189379265,25.216501864433884,109.98870768636344,0.09813498895996013,-1.1316899183908733,31.350933471510203,IPPE,5.0,0,coco,False
38,tL1T1hukEHU_3600.png,1280,720,15,15,22.54722685514482,20.35859730570823,22.54722685514482,112.59905296957946,0.006780514011017548,-0.475831344533563,28.13261501722602,IPPE,5.0,0,coco,False
40,ud1dfBJ5EcA_1300.png,1280,720,15,15,54.339186669853554,45.26400581254645,54.339186669853554,111.41324517254601,0.013568917808895098,-0.8012145895612739,27.250572408235207,IPPE,5.0,0,coco,False
53,xW_ft7CuW2M_500.png,1280,720,15,15,23.528069570534203,21.871725285324022,23.528069570534203,111.40329566159375,-0.060424319504491966,-1.1607916531393965,29.831567905239638,IPPE,5.0,0,coco,False
